NO.	Time	Interval	Indoor Temperature(°C)	Indoor Humidity(%)	Outdoor Temperature(°C)	Outdoor Humidity(%)	Relative Pressure(mmHg)	Absolute Pressure(mmHg)	Wind Speed(m/s)	Gust(m/s)	Wind Direction	DewPoint(°C)	WindChill(°C)	Hour Rainfall(mm)	24 Hour Rainfall(mm)	Week Rainfall(mm)	Month Rainfall(mm)	Total Rainfall(mm)
 1	 2017-07-18 22:10:17	 120	 32.0	 35	 21.0	 25	 766.9	 761.6	 2.7	 3.7	 S	 0.2	 19.6	 0.00	 0.00	 0.00	 0.00	 0.00
 2	 2017-07-19 00:10:17	 120	 32.1	 34	 18.9	 34	 767.0	 761.7	 1.7	 2.7	 S	 2.7	 18.9	 0.00	 0.00	 0.00	 0.00	 0.00
 3	 2017-07-19 02:10:17	 120	 29.2	 39	 13.8	 52	 767.3	 762.0	 0.7	 1.0	 E	 4.1	 13.8	 0.00	 0.00	 0.00	 0.00	 0.00
 4	 2017-07-19 04:10:17	 120	 27.0	 39	 12.7	 63	 767.8	 762.5	 1.0	 1.4	 E	 5.9	 12.7	 0.00	 0.00	 0.00	 0.00	 0.00
 5	 2017-07-19 06:10:17	 120	 25.4	 41	 13.8	 69	 768.0	 762.7	 1.0	 1.4	 E	 8.2	 13.8	 0.00	 0.00	 0.00	 0.00	 0.00
 6	 2017-07-19 08:10:17	 120	 24.3	 42	 13.5	 69	 768.4	 763.1	 1.0	 1.7	 E	 7.9	 13.5	 0.00	 0.00	 0.00	 0.00	 0.00
 7	 2017-07-19 10:10:17	 120	 23.6	 43	 14.2	 62	 769.3	 764.0	 1.7	 3.1	 NE	 7.0	 14.2	 0.00	 0.00	 0.00	 0.00	 0.00
 8	 2017-07-19 12:10:17	 120	 23.6	 43	 19.0	 29	 769.4	 764.0	 1.0	 1.7	 NE	 0.6	 19.0	 0.00	 0.00	 0.00	 0.00	 0.00
 9	 2017-07-19 14:10:17	 120	 24.6	 43	 18.7	 30	 769.4	 764.0	 1.4	 2.0	 N	 0.8	 18.7	 0.00	 0.00	 0.00	 0.00	 0.00
 10	 2017-07-19 16:10:17	 120	 25.5	 43	 19.6	 29	 768.9	 763.6	 2.0	 2.7	 NW	 1.1	 18.9	 0.00	 0.00	 0.00	 0.00	 0.00
 11	 2017-07-19 18:10:17	 120	 26.5	 42	 20.1	 27	 768.2	 762.8	 3.1	 4.4	 NW	 0.5	 18.2	 0.00	 0.00	 0.00	 0.00	 0.00
 12	 2017-07-19 20:10:17	 120	 29.3	 42	 21.2	 19	 767.1	 761.8	 2.7	 3.7	 WNW	 -3.3	 19.9	 0.00	 0.00	 0.00	 0.00	 0.00
 13	 2017-07-19 22:10:17	 120	 32.6	 36	 21.2	 17	 766.8	 761.5	 1.7	 2.4	 NW	 -4.8	 21.2	 0.00	 0.00	 0.00	 0.00	 0.00
 14	 2017-07-20 00:10:17	 120	 32.3	 35	 20.6	 22	 766.7	 761.3	 0.3	 0.7	 NW	 -1.8	 20.6	 0.00	 0.00	 0.00	 0.00	 0.00
 15	 2017-07-20 02:10:17	 120	 29.7	 40	 14.6	 39	 766.4	 761.1	 1.0	 1.4	 SE	 0.8	 14.6	 0.00	 0.00	 0.00	 0.00	 0.00
 16	 2017-07-20 04:10:17	 120	 27.2	 39	 11.8	 53	 766.4	 761.1	 1.0	 1.4	 E	 2.5	 11.8	 0.00	 0.00	 0.00	 0.00	 0.00
 17	 2017-07-20 06:10:17	 120	 25.8	 41	 11.6	 51	 766.2	 760.9	 0.3	 0.7	 NE	 1.8	 11.6	 0.00	 0.00	 0.00	 0.00	 0.00
 18	 2017-07-20 08:10:17	 120	 24.4	 42	 10.8	 50	 765.8	 760.5	 0.3	 0.7	 NE	 0.8	 10.8	 0.00	 0.00	 0.00	 0.00	 0.00
 19	 2017-07-20 10:10:17	 120	 23.6	 43	 16.6	 30	 765.4	 760.1	 0.7	 1.4	 E	 -1.0	 16.6	 0.00	 0.00	 0.00	 0.00	 0.00
 20	 2017-07-20 12:10:17	 120	 23.7	 44	 23.2	 18	 765.2	 759.8	 1.7	 2.7	 ENE	 -2.4	 23.2	 0.00	 0.00	 0.00	 0.00	 0.00
 21	 2017-07-20 14:10:17	 120	 25.0	 43	 24.9	 15	 764.5	 759.2	 1.4	 2.7	 ESE	 -3.5	 24.9	 0.00	 0.00	 0.00	 0.00	 0.00
 22	 2017-07-20 16:10:17	 120	 26.5	 42	 24.0	 16	 764.0	 758.7	 3.1	 3.7	 W	 -3.3	 22.7	 0.00	 0.00	 0.00	 0.00	 0.00
 23	 2017-07-20 18:10:17	 120	 27.9	 41	 24.3	 16	 763.4	 758.0	 2.4	 3.1	 SW	 -3.1	 23.5	 0.00	 0.00	 0.00	 0.00	 0.00
 24	 2017-07-20 20:10:17	 120	 30.6	 40	 24.7	 15	 762.8	 757.4	 2.7	 3.4	 W	 -3.6	 23.8	 0.00	 0.00	 0.00	 0.00	 0.00
 25	 2017-07-20 22:10:17	 120	 33.5	 37	 25.6	 15	 762.5	 757.2	 1.7	 2.4	 NW	 -2.9	 25.6	 0.00	 0.00	 0.00	 0.00	 0.00
 26	 2017-07-21 00:10:17	 120	 32.9	 37	 22.2	 15	 762.7	 757.4	 0.7	 1.4	 E	 -5.6	 22.2	 0.00	 0.00	 0.00	 0.00	 0.00
 27	 2017-07-21 02:10:17	 120	 30.6	 40	 19.0	 19	 762.8	 757.4	 1.0	 1.7	 NE	 -5.1	 19.0	 0.00	 0.00	 0.00	 0.00	 0.00
 28	 2017-07-21 04:10:17	 120	 28.8	 42	 19.2	 18	 762.9	 757.6	 1.0	 3.1	 NE	 -5.7	 19.2	 0.00	 0.00	 0.00	 0.00	 0.00
 29	 2017-07-21 06:10:17	 120	 27.2	 40	 16.9	 24	 763.4	 758.1	 1.0	 1.7	 E	 -3.8	 16.9	 0.00	 0.00	 0.00	 0.00	 0.00
 30	 2017-07-21 08:10:17	 120	 26.2	 40	 15.5	 30	 763.9	 758.6	 0.3	 0.7	 E	 -2.0	 15.5	 0.00	 0.00	 0.00	 0.00	 0.00
 31	 2017-07-21 10:10:17	 120	 25.4	 41	 16.1	 29	 764.5	 759.2	 1.0	 1.4	 E	 -1.9	 16.1	 0.00	 0.00	 0.00	 0.00	 0.00
 32	 2017-07-21 12:10:17	 120	 24.9	 42	 17.0	 29	 765.6	 760.3	 0.0	 0.0	 SE	 -1.1	 17.0	 0.00	 0.00	 0.00	 0.00	 0.00
 33	 2017-07-21 14:10:17	 120	 24.8	 42	 16.1	 37	 766.4	 761.1	 0.7	 1.7	 NE	 1.4	 16.1	 0.60	 0.60	 0.60	 0.60	 0.60
 34	 2017-07-21 16:10:17	 120	 24.9	 42	 17.1	 38	 767.2	 761.9	 1.0	 1.7	 SE	 2.7	 17.1	 1.20	 1.80	 1.80	 1.80	 1.80
 35	 2017-07-21 18:10:17	 120	 25.2	 41	 19.0	 31	 767.6	 762.2	 1.0	 1.7	 E	 1.5	 19.0	 0.30	 2.10	 2.10	 2.10	 2.10
 36	 2017-07-21 20:10:17	 120	 25.2	 41	 18.4	 36	 767.8	 762.5	 0.3	 0.7	 N	 3.1	 18.4	 0.00	 2.10	 2.10	 2.10	 2.10
 37	 2017-07-21 22:10:17	 120	 24.9	 42	 18.2	 40	 768.1	 762.8	 0.0	 0.3	 NW	 4.4	 18.2	 0.30	 2.40	 2.40	 2.40	 2.40
 38	 2017-07-22 00:10:17	 120	 24.2	 42	 16.6	 50	 768.7	 763.4	 0.0	 0.3	 E	 6.2	 16.6	 0.30	 0.30	 2.70	 2.70	 2.70
 39	 2017-07-22 02:10:17	 120	 23.5	 43	 16.0	 50	 769.1	 763.8	 0.3	 0.7	 NE	 5.6	 16.0	 0.00	 0.30	 2.70	 2.70	 2.70
